Generating taxpayers...
============================================================

Generating 38 taxpayers for addis_ababa-tc1...
  ✓ Ethio IT Solutions PLC (CRITICAL, comprehensive)
  ✓ Muller & Phipps Ethiopia (MEDIUM, issue_audit)
  ✓ Abay Bank S.C. (MEDIUM, desk_audit)
  ✓ Wonji Sugar Factory (MEDIUM, desk_audit)
  ✓ Hayat Medical Center (LOW, desk_audit)
  ✓ Meri Best Supermarket PLC (MEDIUM, desk_audit)
  ✓ Digital Ethiopia Corp (MEDIUM, issue_audit)
  ✓ Intercontinental Hotel (HIGH, field_audit)
  ✓ Flintstone Development (CRITICAL, comprehensive)
  ✓ Etete Supermarket (MEDIUM, desk_audit)
  ✓ Kaleb Engineering (MEDIUM, issue_audit)
  ✓ Tsehay Bank (MEDIUM, desk_audit)
  ✓ Todo Market (CRITICAL, comprehensive)
  ✓ Etete Supermarket Co. (CRITICAL, comprehensive)
  ✓ Mama Fresh Market (MEDIUM, issue_audit)
  ✓ Nazret Brewery (MEDIUM, desk_audit)
  ✓ Messebo Cement (LOW, desk_audit)
  ✓ Jupiter International Hotel (LOW, desk_audit)
  ✓ Digital Ethiopia (MEDIUM, desk_audit)
  ✓ Wegagen Bus (MEDIUM, desk_audit)
  ✓ Addis Land PLC (LOW, desk_audit)
  ✓ Addis International Bank (MEDIUM, desk_audit)
  ✓ Admas University (LOW, desk_audit)
  ✓ Sheger Transport (LOW, desk_audit)
  ✓ Guna Trading House (LOW, desk_audit)
  ✓ Selam Bus (MEDIUM, desk_audit)
  ✓ Bole Real Estate Corp (MEDIUM, desk_audit)
  ✓ ICT Ethiopia (LOW, desk_audit)
  ✓ Nile Petroleum (MEDIUM, issue_audit)
  ✓ Wonji Sugar Factory Ltd (CRITICAL, comprehensive)
  ✓ Meta Abo Brewery (MEDIUM, issue_audit)
  ✓ Zemzem Bank (HIGH, field_audit)
  ✓ Yekatit Hospital Supply S.C. (MEDIUM, desk_audit)
  ✓ Myungsung Medical Center Group (MEDIUM, desk_audit)
  ✓ Etete Supermarket (MEDIUM, desk_audit)
  ✓ Jimma Coffee Ltd (MEDIUM, issue_audit)
  ✓ Abay Bus Co. (MEDIUM, desk_audit)
  ✓ Yassin Coffee Export PLC (MEDIUM, desk_audit)

Generating 42 taxpayers for addis_ababa-tc2...
  ✓ Goh Betoch Trading Group (LOW, desk_audit)
  ✓ NetSol Ethiopia Corp (HIGH, issue_audit)
  ✓ Guna Trading House Group (MEDIUM, desk_audit)
  ✓ Oromia Bank (MEDIUM, desk_audit)
  ✓ Admas University (LOW, desk_audit)
  ✓ Sher Ethiopia S.C. (MEDIUM, desk_audit)
  ✓ NetSol Ethiopia (MEDIUM, issue_audit)
  ✓ Ethiopian Sugar Corporation (CRITICAL, comprehensive)
  ✓ Bethel Medical (MEDIUM, issue_audit)
  ✓ Microlink College (HIGH, issue_audit)
  ✓ Ras Desta Medical (CRITICAL, comprehensive)
  ✓ Nile Petroleum (MEDIUM, desk_audit)
  ✓ Addis International Bank (MEDIUM, issue_audit)
  ✓ Bole Real Estate Co. (HIGH, issue_audit)
  ✓ Safaricom Ethiopia (MEDIUM, issue_audit)
  ✓ Total Ethiopia (HIGH, issue_audit)
  ✓ Unity University (HIGH, issue_audit)
  ✓ Rift Valley University (CRITICAL, comprehensive)
  ✓ Berhan Bank PLC (MEDIUM, desk_audit)
  ✓ Koye Feche Real Estate (MEDIUM, desk_audit)
  ✓ Eliana Hotel Co. (MEDIUM, desk_audit)
  ✓ Gurd Shola Real Estate (MEDIUM, desk_audit)
  ✓ Aman Import Export (MEDIUM, desk_audit)
  ✓ Flintstone Development (MEDIUM, desk_audit)
  ✓ Anbessa City Bus (HIGH, field_audit)
  ✓ Kefeta Trading (CRITICAL, comprehensive)
  ✓ Cooperative Bank of Oromia (MEDIUM, issue_audit)
